gid,latitude,longitude,elevation,timezone,config,geometry,index_right
9759,23.95,69.95,0.0,5.5,default,POINT (69.95 23.95),264
9760,24.05,69.95,0.0,5.5,default,POINT (69.95 24.05),264
9761,24.15,69.95,0.0,5.5,default,POINT (69.95 24.15),264
10085,23.55,70.05,0.0,5.5,default,POINT (70.05 23.55),264
10086,23.65,70.05,0.0,5.5,default,POINT (70.05 23.65),264
10087,23.75,70.05,0.0,5.5,default,POINT (70.05 23.75),264
10088,23.85,70.05,0.0,5.5,default,POINT (70.05 23.85),264
10089,23.95,70.05,0.0,5.5,default,POINT (70.05 23.95),264
10090,24.05,70.05,0.0,5.5,default,POINT (70.05 24.05),264
10091,24.15,70.05,0.0,5.5,default,POINT (70.05 24.15),264
10416,23.65,70.15,0.0,5.5,default,POINT (70.15000000000001 23.65),264
10417,23.75,70.15,0.0,5.5,default,POINT (70.15000000000001 23.75),264
10418,23.85,70.15,0.0,5.5,default,POINT (70.15000000000001 23.85),264
10419,23.95,70.15,0.0,5.5,default,POINT (70.15000000000001 23.95),264
10420,24.05,70.15,0.0,5.5,default,POINT (70.15000000000001 24.05),264
8096,22.65,69.45,0.0,5.5,default,POINT (69.45 22.65),213
8426,22.65,69.55,0.0,5.5,default,POINT (69.55 22.65),213
8756,22.65,69.65,0.0,5.5,default,POINT (69.65000000000001 22.65),213
8757,22.75,69.65,0.0,5.5,default,POINT (69.65000000000001 22.75),213
9085,22.55,69.75,0.0,5.5,default,POINT (69.75 22.55),213
9086,22.65,69.75,0.0,5.5,default,POINT (69.75 22.65),213
9087,22.75,69.75,0.0,5.5,default,POINT (69.75 22.75),213
9414,22.45,69.85,0.0,5.5,default,POINT (69.84999999999999 22.45),213
9415,22.55,69.85,0.0,5.5,default,POINT (69.84999999999999 22.55),213
9416,22.65,69.85,0.0,5.5,default,POINT (69.84999999999999 22.65),213
9417,22.75,69.85,0.0,5.5,default,POINT (69.84999999999999 22.75),213
9743,22.35,69.95,0.0,5.5,default,POINT (69.95 22.35),213
9744,22.45,69.95,0.0,5.5,default,POINT (69.95 22.45),213
9745,22.55,69.95,0.0,5.5,default,POINT (69.95 22.55),213
9746,22.65,69.95,0.0,5.5,default,POINT (69.95 22.65),213
10070,22.05,70.05,0.0,5.5,default,POINT (70.05 22.05),213
10071,22.15,70.05,0.0,5.5,default,POINT (70.05 22.15),213
10072,22.25,70.05,0.0,5.5,default,POINT (70.05 22.25),213
10073,22.35,70.05,0.0,5.5,default,POINT (70.05 22.35),213
10074,22.45,70.05,0.0,5.5,default,POINT (70.05 22.45),213
10075,22.55,70.05,0.0,5.5,default,POINT (70.05 22.55),213
10076,22.65,70.05,0.0,5.5,default,POINT (70.05 22.65),213
10401,22.15,70.15,0.0,5.5,default,POINT (70.15000000000001 22.15),213
10402,22.25,70.15,0.0,5.5,default,POINT (70.15000000000001 22.25),213
10403,22.35,70.15,0.0,5.5,default,POINT (70.15000000000001 22.35),213
10404,22.45,70.15,0.0,5.5,default,POINT (70.15000000000001 22.45),213
10405,22.55,70.15,0.0,5.5,default,POINT (70.15000000000001 22.55),213
8427,22.75,69.55,0.0,5.5,default,POINT (69.55 22.75),211
8758,22.85,69.65,0.0,5.5,default,POINT (69.65000000000001 22.85),211
9088,22.85,69.75,0.0,5.5,default,POINT (69.75 22.85),211
9418,22.85,69.85,0.0,5.5,default,POINT (69.84999999999999 22.85),211
9747,22.75,69.95,0.0,5.5,default,POINT (69.95 22.75),211
9748,22.85,69.95,0.0,5.5,default,POINT (69.95 22.85),211
10077,22.75,70.05,0.0,5.5,default,POINT (70.05 22.75),211
10406,22.65,70.15,0.0,5.5,default,POINT (70.15000000000001 22.65),211
10407,22.75,70.15,0.0,5.5,default,POINT (70.15000000000001 22.75),211
10732,22.25,70.25,0.0,5.5,default,POINT (70.25 22.25),211
10733,22.35,70.25,0.0,5.5,default,POINT (70.25 22.35),211
10734,22.45,70.25,0.0,5.5,default,POINT (70.25 22.45),211
10735,22.55,70.25,0.0,5.5,default,POINT (70.25 22.55),211
