latitude,longitude,elevation,timezone,config,geometry,index_right
21.95,69.85,0.0,5.5,default,POINT (69.84999999999999 21.95),260
21.35,69.95,0.0,5.5,default,POINT (69.95 21.35),260
21.45,69.95,0.0,5.5,default,POINT (69.95 21.45),260
21.55,69.95,0.0,5.5,default,POINT (69.95 21.55),260
21.65,69.95,0.0,5.5,default,POINT (69.95 21.65),260
21.75,69.95,0.0,5.5,default,POINT (69.95 21.75),260
21.85,69.95,0.0,5.5,default,POINT (69.95 21.85),260
21.95,69.95,0.0,5.5,default,POINT (69.95 21.95),260
21.45,70.05,0.0,5.5,default,POINT (70.05 21.45),260
21.55,70.05,0.0,5.5,default,POINT (70.05 21.55),260
21.65,70.05,0.0,5.5,default,POINT (70.05 21.65),260
21.75,70.05,0.0,5.5,default,POINT (70.05 21.75),260
21.85,70.05,0.0,5.5,default,POINT (70.05 21.85),260
23.75,69.25,0.0,5.5,default,POINT (69.25 23.75),264
23.85,69.25,0.0,5.5,default,POINT (69.25 23.85),264
23.95,69.25,0.0,5.5,default,POINT (69.25 23.95),264
23.65,69.35,0.0,5.5,default,POINT (69.34999999999999 23.65),264
23.75,69.35,0.0,5.5,default,POINT (69.34999999999999 23.75),264
23.85,69.35,0.0,5.5,default,POINT (69.34999999999999 23.85),264
23.95,69.35,0.0,5.5,default,POINT (69.34999999999999 23.95),264
24.05,69.35,0.0,5.5,default,POINT (69.34999999999999 24.05),264
23.55,69.45,0.0,5.5,default,POINT (69.45 23.55),264
23.65,69.45,0.0,5.5,default,POINT (69.45 23.65),264
23.75,69.45,0.0,5.5,default,POINT (69.45 23.75),264
23.85,69.45,0.0,5.5,default,POINT (69.45 23.85),264
23.95,69.45,0.0,5.5,default,POINT (69.45 23.95),264
24.05,69.45,0.0,5.5,default,POINT (69.45 24.05),264
24.15,69.45,0.0,5.5,default,POINT (69.45 24.15),264
23.45,69.55,0.0,5.5,default,POINT (69.55 23.45),264
23.55,69.55,0.0,5.5,default,POINT (69.55 23.55),264
23.65,69.55,0.0,5.5,default,POINT (69.55 23.65),264
23.75,69.55,0.0,5.5,default,POINT (69.55 23.75),264
23.85,69.55,0.0,5.5,default,POINT (69.55 23.85),264
23.95,69.55,0.0,5.5,default,POINT (69.55 23.95),264
24.05,69.55,0.0,5.5,default,POINT (69.55 24.05),264
24.15,69.55,0.0,5.5,default,POINT (69.55 24.15),264
24.25,69.55,0.0,5.5,default,POINT (69.55 24.25),264
23.45,69.65,0.0,5.5,default,POINT (69.65000000000001 23.45),264
23.55,69.65,0.0,5.5,default,POINT (69.65000000000001 23.55),264
23.65,69.65,0.0,5.5,default,POINT (69.65000000000001 23.65),264
23.75,69.65,0.0,5.5,default,POINT (69.65000000000001 23.75),264
23.85,69.65,0.0,5.5,default,POINT (69.65000000000001 23.85),264
23.95,69.65,0.0,5.5,default,POINT (69.65000000000001 23.95),264
24.05,69.65,0.0,5.5,default,POINT (69.65000000000001 24.05),264
24.15,69.65,0.0,5.5,default,POINT (69.65000000000001 24.15),264
24.25,69.65,0.0,6.0,default,POINT (69.65000000000001 24.25),264
23.45,69.75,0.0,5.5,default,POINT (69.75 23.45),264
23.55,69.75,0.0,5.5,default,POINT (69.75 23.55),264
23.65,69.75,0.0,5.5,default,POINT (69.75 23.65),264
23.75,69.75,0.0,5.5,default,POINT (69.75 23.75),264
23.85,69.75,0.0,5.5,default,POINT (69.75 23.85),264
23.95,69.75,0.0,5.5,default,POINT (69.75 23.95),264
24.05,69.75,0.0,5.5,default,POINT (69.75 24.05),264
24.15,69.75,0.0,5.5,default,POINT (69.75 24.15),264
24.25,69.75,0.0,6.0,default,POINT (69.75 24.25),264
23.45,69.85,0.0,5.5,default,POINT (69.84999999999999 23.45),264
23.55,69.85,0.0,5.5,default,POINT (69.84999999999999 23.55),264
23.65,69.85,0.0,5.5,default,POINT (69.84999999999999 23.65),264
23.75,69.85,0.0,5.5,default,POINT (69.84999999999999 23.75),264
23.85,69.85,0.0,5.5,default,POINT (69.84999999999999 23.85),264
23.95,69.85,0.0,5.5,default,POINT (69.84999999999999 23.95),264
24.05,69.85,0.0,5.5,default,POINT (69.84999999999999 24.05),264
24.15,69.85,0.0,5.5,default,POINT (69.84999999999999 24.15),264
24.25,69.85,0.0,6.0,default,POINT (69.84999999999999 24.25),264
23.55,69.95,0.0,5.5,default,POINT (69.95 23.55),264
23.65,69.95,0.0,5.5,default,POINT (69.95 23.65),264
23.75,69.95,0.0,5.5,default,POINT (69.95 23.75),264
23.85,69.95,0.0,5.5,default,POINT (69.95 23.85),264
23.95,69.95,0.0,5.5,default,POINT (69.95 23.95),264
24.05,69.95,0.0,5.5,default,POINT (69.95 24.05),264
24.15,69.95,0.0,5.5,default,POINT (69.95 24.15),264
23.55,70.05,0.0,5.5,default,POINT (70.05 23.55),264
23.65,70.05,0.0,5.5,default,POINT (70.05 23.65),264
23.75,70.05,0.0,5.5,default,POINT (70.05 23.75),264
23.85,70.05,0.0,5.5,default,POINT (70.05 23.85),264
23.95,70.05,0.0,5.5,default,POINT (70.05 23.95),264
24.05,70.05,0.0,5.5,default,POINT (70.05 24.05),264
24.15,70.05,0.0,5.5,default,POINT (70.05 24.15),264
23.65,70.15,0.0,5.5,default,POINT (70.15000000000001 23.65),264
23.75,70.15,0.0,5.5,default,POINT (70.15000000000001 23.75),264
23.85,70.15,0.0,5.5,default,POINT (70.15000000000001 23.85),264
23.95,70.15,0.0,5.5,default,POINT (70.15000000000001 23.95),264
24.05,70.15,0.0,5.5,default,POINT (70.15000000000001 24.05),264
22.15,69.35,0.0,5.5,default,POINT (69.34999999999999 22.15),213
22.25,69.35,0.0,5.5,default,POINT (69.34999999999999 22.25),213
22.35,69.35,0.0,5.5,default,POINT (69.34999999999999 22.35),213
22.45,69.35,0.0,5.5,default,POINT (69.34999999999999 22.45),213
22.55,69.35,0.0,5.5,default,POINT (69.34999999999999 22.55),213
22.05,69.45,0.0,5.5,default,POINT (69.45 22.05),213
22.15,69.45,0.0,5.5,default,POINT (69.45 22.15),213
22.25,69.45,0.0,5.5,default,POINT (69.45 22.25),213
22.35,69.45,0.0,5.5,default,POINT (69.45 22.35),213
22.45,69.45,0.0,5.5,default,POINT (69.45 22.45),213
22.55,69.45,0.0,5.5,default,POINT (69.45 22.55),213
22.65,69.45,0.0,5.5,default,POINT (69.45 22.65),213
21.95,69.55,0.0,5.5,default,POINT (69.55 21.95),213
22.05,69.55,0.0,5.5,default,POINT (69.55 22.05),213
22.15,69.55,0.0,5.5,default,POINT (69.55 22.15),213
22.25,69.55,0.0,5.5,default,POINT (69.55 22.25),213
22.35,69.55,0.0,5.5,default,POINT (69.55 22.35),213
22.45,69.55,0.0,5.5,default,POINT (69.55 22.45),213
22.55,69.55,0.0,5.5,default,POINT (69.55 22.55),213
22.65,69.55,0.0,5.5,default,POINT (69.55 22.65),213
21.95,69.65,0.0,5.5,default,POINT (69.65000000000001 21.95),213
22.05,69.65,0.0,5.5,default,POINT (69.65000000000001 22.05),213
22.15,69.65,0.0,5.5,default,POINT (69.65000000000001 22.15),213
22.25,69.65,0.0,5.5,default,POINT (69.65000000000001 22.25),213
22.35,69.65,0.0,5.5,default,POINT (69.65000000000001 22.35),213
22.45,69.65,0.0,5.5,default,POINT (69.65000000000001 22.45),213
22.55,69.65,0.0,5.5,default,POINT (69.65000000000001 22.55),213
22.65,69.65,0.0,5.5,default,POINT (69.65000000000001 22.65),213
22.75,69.65,0.0,5.5,default,POINT (69.65000000000001 22.75),213
21.95,69.75,0.0,5.5,default,POINT (69.75 21.95),213
22.05,69.75,0.0,5.5,default,POINT (69.75 22.05),213
22.15,69.75,0.0,5.5,default,POINT (69.75 22.15),213
22.25,69.75,0.0,5.5,default,POINT (69.75 22.25),213
22.35,69.75,0.0,5.5,default,POINT (69.75 22.35),213
22.45,69.75,0.0,5.5,default,POINT (69.75 22.45),213
22.55,69.75,0.0,5.5,default,POINT (69.75 22.55),213
22.65,69.75,0.0,5.5,default,POINT (69.75 22.65),213
22.75,69.75,0.0,5.5,default,POINT (69.75 22.75),213
21.95,69.85,0.0,5.5,default,POINT (69.84999999999999 21.95),213
22.05,69.85,0.0,5.5,default,POINT (69.84999999999999 22.05),213
22.15,69.85,0.0,5.5,default,POINT (69.84999999999999 22.15),213
22.25,69.85,0.0,5.5,default,POINT (69.84999999999999 22.25),213
22.35,69.85,0.0,5.5,default,POINT (69.84999999999999 22.35),213
22.45,69.85,0.0,5.5,default,POINT (69.84999999999999 22.45),213
22.55,69.85,0.0,5.5,default,POINT (69.84999999999999 22.55),213
22.65,69.85,0.0,5.5,default,POINT (69.84999999999999 22.65),213
22.75,69.85,0.0,5.5,default,POINT (69.84999999999999 22.75),213
21.95,69.95,0.0,5.5,default,POINT (69.95 21.95),213
22.05,69.95,0.0,5.5,default,POINT (69.95 22.05),213
22.15,69.95,0.0,5.5,default,POINT (69.95 22.15),213
22.25,69.95,0.0,5.5,default,POINT (69.95 22.25),213
22.35,69.95,0.0,5.5,default,POINT (69.95 22.35),213
22.45,69.95,0.0,5.5,default,POINT (69.95 22.45),213
22.55,69.95,0.0,5.5,default,POINT (69.95 22.55),213
22.65,69.95,0.0,5.5,default,POINT (69.95 22.65),213
22.05,70.05,0.0,5.5,default,POINT (70.05 22.05),213
22.15,70.05,0.0,5.5,default,POINT (70.05 22.15),213
22.25,70.05,0.0,5.5,default,POINT (70.05 22.25),213
22.35,70.05,0.0,5.5,default,POINT (70.05 22.35),213
22.45,70.05,0.0,5.5,default,POINT (70.05 22.45),213
22.55,70.05,0.0,5.5,default,POINT (70.05 22.55),213
22.65,70.05,0.0,5.5,default,POINT (70.05 22.65),213
22.15,70.15,0.0,5.5,default,POINT (70.15000000000001 22.15),213
22.25,70.15,0.0,5.5,default,POINT (70.15000000000001 22.25),213
22.35,70.15,0.0,5.5,default,POINT (70.15000000000001 22.35),213
22.45,70.15,0.0,5.5,default,POINT (70.15000000000001 22.45),213
22.55,70.15,0.0,5.5,default,POINT (70.15000000000001 22.55),213
22.45,69.35,0.0,5.5,default,POINT (69.34999999999999 22.45),211
22.25,69.45,0.0,5.5,default,POINT (69.45 22.25),211
22.35,69.45,0.0,5.5,default,POINT (69.45 22.35),211
22.45,69.45,0.0,5.5,default,POINT (69.45 22.45),211
22.55,69.45,0.0,5.5,default,POINT (69.45 22.55),211
22.65,69.45,0.0,5.5,default,POINT (69.45 22.65),211
22.15,69.55,0.0,5.5,default,POINT (69.55 22.15),211
22.25,69.55,0.0,5.5,default,POINT (69.55 22.25),211
22.35,69.55,0.0,5.5,default,POINT (69.55 22.35),211
22.45,69.55,0.0,5.5,default,POINT (69.55 22.45),211
22.55,69.55,0.0,5.5,default,POINT (69.55 22.55),211
22.65,69.55,0.0,5.5,default,POINT (69.55 22.65),211
22.75,69.55,0.0,5.5,default,POINT (69.55 22.75),211
22.05,69.65,0.0,5.5,default,POINT (69.65000000000001 22.05),211
22.15,69.65,0.0,5.5,default,POINT (69.65000000000001 22.15),211
22.25,69.65,0.0,5.5,default,POINT (69.65000000000001 22.25),211
22.35,69.65,0.0,5.5,default,POINT (69.65000000000001 22.35),211
22.45,69.65,0.0,5.5,default,POINT (69.65000000000001 22.45),211
22.55,69.65,0.0,5.5,default,POINT (69.65000000000001 22.55),211
22.65,69.65,0.0,5.5,default,POINT (69.65000000000001 22.65),211
22.75,69.65,0.0,5.5,default,POINT (69.65000000000001 22.75),211
22.85,69.65,0.0,5.5,default,POINT (69.65000000000001 22.85),211
22.05,69.75,0.0,5.5,default,POINT (69.75 22.05),211
22.15,69.75,0.0,5.5,default,POINT (69.75 22.15),211
22.25,69.75,0.0,5.5,default,POINT (69.75 22.25),211
22.35,69.75,0.0,5.5,default,POINT (69.75 22.35),211
22.45,69.75,0.0,5.5,default,POINT (69.75 22.45),211
22.55,69.75,0.0,5.5,default,POINT (69.75 22.55),211
22.65,69.75,0.0,5.5,default,POINT (69.75 22.65),211
22.75,69.75,0.0,5.5,default,POINT (69.75 22.75),211
22.85,69.75,0.0,5.5,default,POINT (69.75 22.85),211
22.05,69.85,0.0,5.5,default,POINT (69.84999999999999 22.05),211
22.15,69.85,0.0,5.5,default,POINT (69.84999999999999 22.15),211
22.25,69.85,0.0,5.5,default,POINT (69.84999999999999 22.25),211
22.35,69.85,0.0,5.5,default,POINT (69.84999999999999 22.35),211
22.45,69.85,0.0,5.5,default,POINT (69.84999999999999 22.45),211
22.55,69.85,0.0,5.5,default,POINT (69.84999999999999 22.55),211
22.65,69.85,0.0,5.5,default,POINT (69.84999999999999 22.65),211
22.75,69.85,0.0,5.5,default,POINT (69.84999999999999 22.75),211
22.85,69.85,0.0,5.5,default,POINT (69.84999999999999 22.85),211
22.05,69.95,0.0,5.5,default,POINT (69.95 22.05),211
22.15,69.95,0.0,5.5,default,POINT (69.95 22.15),211
22.25,69.95,0.0,5.5,default,POINT (69.95 22.25),211
22.35,69.95,0.0,5.5,default,POINT (69.95 22.35),211
22.45,69.95,0.0,5.5,default,POINT (69.95 22.45),211
22.55,69.95,0.0,5.5,default,POINT (69.95 22.55),211
22.65,69.95,0.0,5.5,default,POINT (69.95 22.65),211
22.75,69.95,0.0,5.5,default,POINT (69.95 22.75),211
22.85,69.95,0.0,5.5,default,POINT (69.95 22.85),211
22.05,70.05,0.0,5.5,default,POINT (70.05 22.05),211
22.15,70.05,0.0,5.5,default,POINT (70.05 22.15),211
22.25,70.05,0.0,5.5,default,POINT (70.05 22.25),211
22.35,70.05,0.0,5.5,default,POINT (70.05 22.35),211
22.45,70.05,0.0,5.5,default,POINT (70.05 22.45),211
22.55,70.05,0.0,5.5,default,POINT (70.05 22.55),211
22.65,70.05,0.0,5.5,default,POINT (70.05 22.65),211
22.75,70.05,0.0,5.5,default,POINT (70.05 22.75),211
22.15,70.15,0.0,5.5,default,POINT (70.15000000000001 22.15),211
22.25,70.15,0.0,5.5,default,POINT (70.15000000000001 22.25),211
22.35,70.15,0.0,5.5,default,POINT (70.15000000000001 22.35),211
22.45,70.15,0.0,5.5,default,POINT (70.15000000000001 22.45),211
22.55,70.15,0.0,5.5,default,POINT (70.15000000000001 22.55),211
22.65,70.15,0.0,5.5,default,POINT (70.15000000000001 22.65),211
22.75,70.15,0.0,5.5,default,POINT (70.15000000000001 22.75),211
22.25,70.25,0.0,5.5,default,POINT (70.25 22.25),211
22.35,70.25,0.0,5.5,default,POINT (70.25 22.35),211
22.45,70.25,0.0,5.5,default,POINT (70.25 22.45),211
