,gid,latitude,longitude,elevation,offshore,wrf_region,config
40992,523792,16.139412,76.921875,435,0,1,default
18744,451177,12.908821000000001,78.753204,468,0,1,default
13963,433513,12.13028,76.8628,691,0,1,default
2090,370556,9.344619999999999,76.98095,121,0,1,default
39857,520513,15.997498,76.98095,370,0,1,default
57192,574065,18.115226999999997,77.630775,506,0,1,default
35601,507550,15.428825,75.26778,595,0,1,default
6701,399616,10.6245575,78.54644,138,0,1,default
21669,461363,13.369057000000002,76.44927,828,0,1,default
20526,457533,13.196564000000002,76.360664,871,0,1,default
38551,516626,15.827064499999999,77.68985,324,0,1,default
58945,582346,18.395737,78.044304,596,0,1,default
13959,433509,12.13028,76.74465,656,0,1,default
16079,441460,12.476585,79.875626,33,0,1,default
31029,492866,14.772926000000002,74.29304,518,0,1,default
40363,521876,16.054276,78.5169,281,0,1,default
28034,482682,14.315475,79.37349,216,0,1,default
24805,471689,13.828407,80.20054,-1,0,1,default
90,346316,8.264626,77.51263,86,0,1,default
16049,441430,12.476585,78.9895,219,0,1,default
43940,531804,16.479599,78.69413,416,0,1,default
13741,432298,12.072517,79.60979,34,0,1,default
18506,450476,12.880035000000001,77.15817,859,0,1,default
59086,583167,18.42376,77.36494,458,0,1,default
46117,537280,16.706062,81.20482,4,0,1,default
14257,434792,12.188034,75.947136,858,0,1,default
56589,571013,18.0029,82.59308,1231,0,1,default
17048,445278,12.649567,77.12864,671,0,1,default
19883,455075,13.081512,79.55071,111,0,1,default
37786,514115,15.713356,79.875626,59,0,1,default
43640,531098,16.451271,77.5717,360,0,1,default
19053,452411,12.9664,77.01049,794,0,1,default
24551,470982,13.799721,78.339676,550,0,1,default
36914,511494,15.5995865,78.457825,229,0,1,default
29171,486536,14.487122,78.22153,234,0,1,default
14056,433606,12.13028,79.60979,61,0,1,default
26113,476188,14.029091000000001,79.37349,170,0,1,default
39679,519907,15.969101,78.39875,263,0,1,default
498,353488,8.586029,77.54216,260,0,1,default
39504,519304,15.940697,79.875626,46,0,1,default
30870,492264,14.744361999999999,75.53361,617,0,1,default
41085,523885,16.139412,79.66887,127,0,1,default
9801,414694,11.291527,78.84181,138,0,1,default
8115,406800,10.943733,77.30586,407,0,1,default
41004,523804,16.139412,77.27633,373,0,1,default
